path	public_url	type	bytes	dimensions	duration_seconds	reference_count	references	duplicate_group_size	attribution	orphan_candidate	intended_destination	deletion_risk	sha256
fonts/geist-mono-400.woff2	/fonts/geist-mono-400.woff2	font	12792			3	src/index.css;public/concepts/property/property.css;public/concepts/studio/studio.css	2		false	Shared design-system font assets	High	6b2e3719a213e34cc043760e5a5b420d4067f477dfe06b92ef3c9fd914192dd4
fonts/instrument-sans-400.woff2	/fonts/instrument-sans-400.woff2	font	16860			3	src/index.css;public/concepts/property/property.css;public/concepts/studio/studio.css	2		false	Shared design-system font assets	High	9a91efaa3599a6ef01b2f49e9ec670e3a2f39baeef09c73198f1052cf3bb0850
fonts/instrument-sans-500.woff2	/fonts/instrument-sans-500.woff2	font	17232			3	src/index.css;public/concepts/property/property.css;public/concepts/studio/studio.css	2		false	Shared design-system font assets	High	9d3547da16d950d12a677c772a3ff9b69846e60e7dcd1b5efd540993f7286532
fonts/instrument-sans-italic-400.woff2	/fonts/instrument-sans-italic-400.woff2	font	17748			1	src/index.css	2		false	Shared design-system font assets	High	b089ac6fca39eb8d49d166db9e33574fb891223cfa5d63b3b3be1668f1cfe28b
fonts/instrument-sans-italic-500.woff2	/fonts/instrument-sans-italic-500.woff2	font	18348			1	src/index.css	2		false	Shared design-system font assets	High	02007805cd77359a5da5c76dda8b8a02e164f5e49d0971a7e17035986b214159
fonts/panchang-600.woff2	/fonts/panchang-600.woff2	font	20324			0		1		true	Shared design-system font assets	Medium—generated, experimental, or dynamically referenced assets require manual review	47b8dc8711f9ad0a3efe413dddf4fdc956bf7da783bdb4b0fdb536c40fea9ece
fonts/panchang-700.woff2	/fonts/panchang-700.woff2	font	20416			0		1		true	Shared design-system font assets	Medium—generated, experimental, or dynamically referenced assets require manual review	0a11d0386e491b46f19ebf2e1badad9a14f083c14bdaac92e95bc64e7164f1dc
img/dioramas/ecommerce_1280.jpg	/img/dioramas/ecommerce_1280.jpg	image	42748	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	e08acb69ebab5ac74b904e393254638481ca1f0d1b00fe75eb4123231d51348f
img/dioramas/ecommerce_2560.jpg	/img/dioramas/ecommerce_2560.jpg	image	122154	2560x1086		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	ac9ebd27ee1d7dcbc4ba170b3778a16242e52707e317c99e766edb9cedf01de5
img/dioramas/healthcare_1280.jpg	/img/dioramas/healthcare_1280.jpg	image	38482	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	afa2786452593943740282486d59623df9e3d62c0ade24cb3c87e25ae3857cad
img/dioramas/healthcare_2560.jpg	/img/dioramas/healthcare_2560.jpg	image	111371	2560x1086		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	bb5f53682ade9ab8a2731ed0333d6108d35c3fca28667fe80e1d7e343730e3e3
img/dioramas/hospitality_1280.jpg	/img/dioramas/hospitality_1280.jpg	image	42325	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	95fc78b4ead40cef263d267be98d80b85ea07b92a9130499763790a5aa197fe7
img/dioramas/hospitality_2560.jpg	/img/dioramas/hospitality_2560.jpg	image	124055	2560x1086		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	e3029033b07d8ec0051cb679f3c1bffde05f3de4a0ae12f9e31ec608291749fa
img/dioramas/law_1280.jpg	/img/dioramas/law_1280.jpg	image	42534	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	60b00ac689ecc29474603f352b6499a92a3006fa026a991991bc14df46d0f5ca
img/dioramas/law_2560.jpg	/img/dioramas/law_2560.jpg	image	126190	2560x1086		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	8abd3619b620d6b3848cd321c37313bd32503caa4115df697ceb0b69914f42b3
img/dioramas/realestate_1280.jpg	/img/dioramas/realestate_1280.jpg	image	42320	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	45e7e9edbedf76bb576cde5b309476f49009121d1ffa867d96c42235b9fb3236
img/dioramas/realestate_2560.jpg	/img/dioramas/realestate_2560.jpg	image	121312	2560x1086		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	a378bc0ebdf8451f44dfb8ece69f0c10cf127c224b6391979f58580bbc776cfa
img/dioramas/trades_1280.jpg	/img/dioramas/trades_1280.jpg	image	47762	1280x544		0		1		true	Legacy or active homepage media; reference review required	Medium—generated, experimental, or dynamically referenced assets require manual review	e8ef9cab8cfac4c53cc77492dedb69687e85db8a496486bd71a062509ac93bd1
